Genoma 150, Vitórias X: 66, Vitórias O: 69, Draws: 15
Genoma 33371, Vitórias X: 45, Vitórias O: 44, Draws: 11
Genoma 33468, Vitórias X: 38, Vitórias O: 56, Draws: 6
Genoma 33565, Vitórias X: 42, Vitórias O: 51, Draws: 7
Genoma 33662, Vitórias X: 37, Vitórias O: 51, Draws: 12
Genoma 33759, Vitórias X: 43, Vitórias O: 51, Draws: 6
Genoma 33856, Vitórias X: 29, Vitórias O: 60, Draws: 11
Genoma 33953, Vitórias X: 31, Vitórias O: 57, Draws: 12
Genoma 34050, Vitórias X: 37, Vitórias O: 56, Draws: 7
Genoma 34147, Vitórias X: 40, Vitórias O: 52, Draws: 8
Genoma 34244, Vitórias X: 40, Vitórias O: 54, Draws: 6
Genoma 34341, Vitórias X: 40, Vitórias O: 54, Draws: 6
Genoma 34438, Vitórias X: 48, Vitórias O: 47, Draws: 5
Genoma 34535, Vitórias X: 45, Vitórias O: 48, Draws: 7
Genoma 34632, Vitórias X: 42, Vitórias O: 52, Draws: 6
Genoma 34729, Vitórias X: 37, Vitórias O: 58, Draws: 5
Genoma 34826, Vitórias X: 27, Vitórias O: 69, Draws: 4
Genoma 34923, Vitórias X: 32, Vitórias O: 61, Draws: 7
Genoma 35020, Vitórias X: 41, Vitórias O: 50, Draws: 9
Genoma 35117, Vitórias X: 32, Vitórias O: 59, Draws: 9
Genoma 35214, Vitórias X: 35, Vitórias O: 54, Draws: 11
Genoma 35311, Vitórias X: 45, Vitórias O: 51, Draws: 4
Genoma 35408, Vitórias X: 45, Vitórias O: 48, Draws: 7
Genoma 35505, Vitórias X: 44, Vitórias O: 50, Draws: 6
Genoma 35602, Vitórias X: 38, Vitórias O: 58, Draws: 4
Genoma 35699, Vitórias X: 38, Vitórias O: 56, Draws: 6
Genoma 35796, Vitórias X: 46, Vitórias O: 48, Draws: 6
Genoma 35893, Vitórias X: 42, Vitórias O: 51, Draws: 7
Genoma 35990, Vitórias X: 38, Vitórias O: 60, Draws: 2
Genoma 36087, Vitórias X: 47, Vitórias O: 48, Draws: 5
Genoma 36184, Vitórias X: 39, Vitórias O: 55, Draws: 6
Genoma 36281, Vitórias X: 42, Vitórias O: 53, Draws: 5
Genoma 36378, Vitórias X: 41, Vitórias O: 54, Draws: 5
Genoma 36475, Vitórias X: 35, Vitórias O: 55, Draws: 10
Genoma 36572, Vitórias X: 43, Vitórias O: 54, Draws: 3
Genoma 36669, Vitórias X: 43, Vitórias O: 51, Draws: 6
Genoma 36763, Vitórias X: 41, Vitórias O: 49, Draws: 10
Genoma 36857, Vitórias X: 33, Vitórias O: 57, Draws: 10
Genoma 36951, Vitórias X: 39, Vitórias O: 48, Draws: 13
Genoma 37045, Vitórias X: 35, Vitórias O: 62, Draws: 3
Genoma 37139, Vitórias X: 38, Vitórias O: 56, Draws: 6
Genoma 37233, Vitórias X: 46, Vitórias O: 52, Draws: 2
Genoma 37327, Vitórias X: 37, Vitórias O: 53, Draws: 10
Genoma 37421, Vitórias X: 45, Vitórias O: 48, Draws: 7
Genoma 37515, Vitórias X: 38, Vitórias O: 54, Draws: 8
Genoma 37609, Vitórias X: 36, Vitórias O: 61, Draws: 3
Genoma 37703, Vitórias X: 35, Vitórias O: 59, Draws: 6
Genoma 37797, Vitórias X: 45, Vitórias O: 50, Draws: 5
Genoma 37891, Vitórias X: 46, Vitórias O: 47, Draws: 7
Genoma 37985, Vitórias X: 39, Vitórias O: 57, Draws: 4
Genoma 38079, Vitórias X: 42, Vitórias O: 54, Draws: 4
Genoma 38173, Vitórias X: 38, Vitórias O: 56, Draws: 6
Genoma 38267, Vitórias X: 43, Vitórias O: 47, Draws: 10
Genoma 38361, Vitórias X: 31, Vitórias O: 57, Draws: 12
Genoma 38455, Vitórias X: 42, Vitórias O: 53, Draws: 5
Genoma 38549, Vitórias X: 38, Vitórias O: 56, Draws: 6
Genoma 38643, Vitórias X: 40, Vitórias O: 52, Draws: 8
Genoma 38737, Vitórias X: 34, Vitórias O: 55, Draws: 11
Genoma 38831, Vitórias X: 38, Vitórias O: 50, Draws: 12
Genoma 38925, Vitórias X: 43, Vitórias O: 54, Draws: 3
Genoma 39019, Vitórias X: 35, Vitórias O: 56, Draws: 9
Genoma 39113, Vitórias X: 33, Vitórias O: 62, Draws: 5
Genoma 39207, Vitórias X: 43, Vitórias O: 50, Draws: 7
Genoma 39301, Vitórias X: 57, Vitórias O: 34, Draws: 9
Genoma 39395, Vitórias X: 39, Vitórias O: 59, Draws: 2
Genoma 39489, Vitórias X: 33, Vitórias O: 57, Draws: 10
Genoma 39583, Vitórias X: 30, Vitórias O: 64, Draws: 6
Genoma 39677, Vitórias X: 43, Vitórias O: 52, Draws: 5
Genoma 39771, Vitórias X: 46, Vitórias O: 48, Draws: 6
Genoma 39865, Vitórias X: 44, Vitórias O: 52, Draws: 4
Genoma 39959, Vitórias X: 33, Vitórias O: 59, Draws: 8
Genoma 40053, Vitórias X: 37, Vitórias O: 54, Draws: 9
Genoma 40147, Vitórias X: 50, Vitórias O: 46, Draws: 4
Genoma 40241, Vitórias X: 36, Vitórias O: 54, Draws: 10
Genoma 40335, Vitórias X: 34, Vitórias O: 59, Draws: 7
Genoma 40429, Vitórias X: 38, Vitórias O: 52, Draws: 10
Genoma 40523, Vitórias X: 40, Vitórias O: 52, Draws: 8
Genoma 40617, Vitórias X: 34, Vitórias O: 56, Draws: 10
Genoma 40711, Vitórias X: 38, Vitórias O: 54, Draws: 8
Genoma 40805, Vitórias X: 45, Vitórias O: 47, Draws: 8
Genoma 40899, Vitórias X: 43, Vitórias O: 51, Draws: 6
Genoma 40993, Vitórias X: 29, Vitórias O: 63, Draws: 8
Genoma 41087, Vitórias X: 39, Vitórias O: 54, Draws: 7
Genoma 41181, Vitórias X: 34, Vitórias O: 59, Draws: 7
Genoma 41275, Vitórias X: 39, Vitórias O: 55, Draws: 6
Genoma 41369, Vitórias X: 42, Vitórias O: 53, Draws: 5
Genoma 41463, Vitórias X: 49, Vitórias O: 42, Draws: 9
Genoma 41557, Vitórias X: 35, Vitórias O: 55, Draws: 10
Genoma 41651, Vitórias X: 42, Vitórias O: 48, Draws: 10
Genoma 41745, Vitórias X: 36, Vitórias O: 54, Draws: 10
Genoma 41839, Vitórias X: 35, Vitórias O: 56, Draws: 9
Genoma 41933, Vitórias X: 33, Vitórias O: 65, Draws: 2
Genoma 42027, Vitórias X: 42, Vitórias O: 54, Draws: 4
Genoma 42121, Vitórias X: 37, Vitórias O: 54, Draws: 9
Genoma 42215, Vitórias X: 44, Vitórias O: 50, Draws: 6
Genoma 42309, Vitórias X: 41, Vitórias O: 56, Draws: 3
Genoma 42403, Vitórias X: 42, Vitórias O: 52, Draws: 6
Genoma 42497, Vitórias X: 40, Vitórias O: 53, Draws: 7
Genoma 42591, Vitórias X: 39, Vitórias O: 60, Draws: 1
Genoma 42685, Vitórias X: 42, Vitórias O: 50, Draws: 8
Genoma 42779, Vitórias X: 43, Vitórias O: 52, Draws: 5
Genoma 42873, Vitórias X: 41, Vitórias O: 56, Draws: 3
Genoma 42967, Vitórias X: 38, Vitórias O: 53, Draws: 9
Genoma 43061, Vitórias X: 37, Vitórias O: 54, Draws: 9
Genoma 43155, Vitórias X: 33, Vitórias O: 62, Draws: 5
Genoma 43249, Vitórias X: 41, Vitórias O: 53, Draws: 6
Genoma 43343, Vitórias X: 39, Vitórias O: 55, Draws: 6
Genoma 43437, Vitórias X: 37, Vitórias O: 56, Draws: 7
Genoma 43531, Vitórias X: 49, Vitórias O: 45, Draws: 6
Genoma 43625, Vitórias X: 42, Vitórias O: 51, Draws: 7
Genoma 43719, Vitórias X: 43, Vitórias O: 49, Draws: 8
Genoma 43813, Vitórias X: 37, Vitórias O: 58, Draws: 5
Genoma 43907, Vitórias X: 36, Vitórias O: 59, Draws: 5
Genoma 44001, Vitórias X: 44, Vitórias O: 51, Draws: 5
Genoma 44095, Vitórias X: 44, Vitórias O: 51, Draws: 5
Genoma 44189, Vitórias X: 48, Vitórias O: 48, Draws: 4
Genoma 44283, Vitórias X: 39, Vitórias O: 57, Draws: 4
Genoma 44377, Vitórias X: 44, Vitórias O: 53, Draws: 3
Genoma 44471, Vitórias X: 46, Vitórias O: 47, Draws: 7
Genoma 44565, Vitórias X: 42, Vitórias O: 56, Draws: 2
Genoma 44659, Vitórias X: 45, Vitórias O: 53, Draws: 2
Genoma 44753, Vitórias X: 49, Vitórias O: 48, Draws: 3
Genoma 44847, Vitórias X: 44, Vitórias O: 53, Draws: 3
Genoma 44941, Vitórias X: 38, Vitórias O: 58, Draws: 4
Genoma 45035, Vitórias X: 33, Vitórias O: 62, Draws: 5
Genoma 45129, Vitórias X: 35, Vitórias O: 57, Draws: 8
Genoma 45223, Vitórias X: 45, Vitórias O: 51, Draws: 4
Genoma 45317, Vitórias X: 36, Vitórias O: 56, Draws: 8
Genoma 45411, Vitórias X: 40, Vitórias O: 49, Draws: 11
Genoma 45505, Vitórias X: 44, Vitórias O: 49, Draws: 7
Genoma 45599, Vitórias X: 35, Vitórias O: 60, Draws: 5
Genoma 45693, Vitórias X: 33, Vitórias O: 58, Draws: 9
Genoma 45787, Vitórias X: 39, Vitórias O: 56, Draws: 5
Genoma 45881, Vitórias X: 43, Vitórias O: 51, Draws: 6
Genoma 45975, Vitórias X: 32, Vitórias O: 64, Draws: 4
Genoma 46069, Vitórias X: 36, Vitórias O: 53, Draws: 11
Genoma 46163, Vitórias X: 40, Vitórias O: 56, Draws: 4
Genoma 46257, Vitórias X: 35, Vitórias O: 54, Draws: 11
Genoma 46351, Vitórias X: 44, Vitórias O: 51, Draws: 5
Genoma 46445, Vitórias X: 36, Vitórias O: 58, Draws: 6
Genoma 46539, Vitórias X: 40, Vitórias O: 58, Draws: 2
Genoma 46633, Vitórias X: 41, Vitórias O: 52, Draws: 7
Genoma 46727, Vitórias X: 32, Vitórias O: 58, Draws: 10
Genoma 46821, Vitórias X: 43, Vitórias O: 45, Draws: 12
Genoma 46915, Vitórias X: 47, Vitórias O: 45, Draws: 8
Genoma 47009, Vitórias X: 32, Vitórias O: 59, Draws: 9
Genoma 47103, Vitórias X: 35, Vitórias O: 59, Draws: 6
Genoma 47197, Vitórias X: 42, Vitórias O: 53, Draws: 5
Genoma 47291, Vitórias X: 39, Vitórias O: 54, Draws: 7
Genoma 47385, Vitórias X: 37, Vitórias O: 56, Draws: 7
Genoma 47479, Vitórias X: 37, Vitórias O: 53, Draws: 10
Genoma 47573, Vitórias X: 49, Vitórias O: 47, Draws: 4
Genoma 47667, Vitórias X: 39, Vitórias O: 57, Draws: 4
Genoma 47761, Vitórias X: 43, Vitórias O: 53, Draws: 4
Genoma 47855, Vitórias X: 43, Vitórias O: 51, Draws: 6
Genoma 47949, Vitórias X: 51, Vitórias O: 44, Draws: 5
Genoma 48043, Vitórias X: 40, Vitórias O: 52, Draws: 8
Genoma 48137, Vitórias X: 35, Vitórias O: 59, Draws: 6
Genoma 48231, Vitórias X: 36, Vitórias O: 59, Draws: 5
Genoma 48325, Vitórias X: 35, Vitórias O: 52, Draws: 13
Genoma 48419, Vitórias X: 36, Vitórias O: 58, Draws: 6
Genoma 48513, Vitórias X: 37, Vitórias O: 60, Draws: 3
Genoma 48607, Vitórias X: 43, Vitórias O: 56, Draws: 1
Genoma 48701, Vitórias X: 42, Vitórias O: 46, Draws: 12
Genoma 48795, Vitórias X: 35, Vitórias O: 57, Draws: 8
Genoma 48889, Vitórias X: 35, Vitórias O: 56, Draws: 9
Genoma 48983, Vitórias X: 39, Vitórias O: 58, Draws: 3
Genoma 49077, Vitórias X: 40, Vitórias O: 53, Draws: 7
Genoma 49171, Vitórias X: 45, Vitórias O: 50, Draws: 5
Genoma 49265, Vitórias X: 42, Vitórias O: 49, Draws: 9
Genoma 49359, Vitórias X: 34, Vitórias O: 63, Draws: 3
Genoma 49453, Vitórias X: 42, Vitórias O: 54, Draws: 4
Genoma 49547, Vitórias X: 41, Vitórias O: 52, Draws: 7
Genoma 49641, Vitórias X: 33, Vitórias O: 59, Draws: 8
Genoma 49735, Vitórias X: 44, Vitórias O: 47, Draws: 9
Genoma 49829, Vitórias X: 49, Vitórias O: 46, Draws: 5
Genoma 49923, Vitórias X: 40, Vitórias O: 59, Draws: 1
Genoma 50017, Vitórias X: 46, Vitórias O: 53, Draws: 1
Genoma 50111, Vitórias X: 44, Vitórias O: 49, Draws: 7
Genoma 50205, Vitórias X: 40, Vitórias O: 57, Draws: 3
Genoma 50299, Vitórias X: 47, Vitórias O: 48, Draws: 5
Genoma 50393, Vitórias X: 34, Vitórias O: 60, Draws: 6
Genoma 50487, Vitórias X: 46, Vitórias O: 45, Draws: 9
Genoma 50581, Vitórias X: 42, Vitórias O: 50, Draws: 8
Genoma 50675, Vitórias X: 43, Vitórias O: 53, Draws: 4
Genoma 50769, Vitórias X: 45, Vitórias O: 50, Draws: 5
Genoma 50863, Vitórias X: 38, Vitórias O: 55, Draws: 7
Genoma 50957, Vitórias X: 43, Vitórias O: 49, Draws: 8
Genoma 51051, Vitórias X: 39, Vitórias O: 56, Draws: 5
Genoma 51145, Vitórias X: 47, Vitórias O: 49, Draws: 4
Genoma 51239, Vitórias X: 42, Vitórias O: 51, Draws: 7
Genoma 51333, Vitórias X: 28, Vitórias O: 62, Draws: 10
Genoma 51427, Vitórias X: 38, Vitórias O: 51, Draws: 11
Genoma 51521, Vitórias X: 36, Vitórias O: 60, Draws: 4
Genoma 51615, Vitórias X: 42, Vitórias O: 56, Draws: 2
Genoma 51709, Vitórias X: 45, Vitórias O: 53, Draws: 2
Genoma 51803, Vitórias X: 49, Vitórias O: 44, Draws: 7
Genoma 51897, Vitórias X: 44, Vitórias O: 53, Draws: 3
Genoma 51991, Vitórias X: 38, Vitórias O: 58, Draws: 4
Genoma 52085, Vitórias X: 36, Vitórias O: 58, Draws: 6
Genoma 52179, Vitórias X: 37, Vitórias O: 54, Draws: 9
Genoma 52273, Vitórias X: 32, Vitórias O: 57, Draws: 11
Genoma 52367, Vitórias X: 45, Vitórias O: 48, Draws: 7
Genoma 52461, Vitórias X: 36, Vitórias O: 60, Draws: 4
Genoma 52555, Vitórias X: 46, Vitórias O: 45, Draws: 9
Genoma 52649, Vitórias X: 36, Vitórias O: 55, Draws: 9
Genoma 52743, Vitórias X: 34, Vitórias O: 58, Draws: 8
Genoma 52837, Vitórias X: 35, Vitórias O: 57, Draws: 8
Genoma 52931, Vitórias X: 44, Vitórias O: 48, Draws: 8
Genoma 53025, Vitórias X: 47, Vitórias O: 48, Draws: 5
Genoma 53119, Vitórias X: 42, Vitórias O: 52, Draws: 6
Genoma 53213, Vitórias X: 41, Vitórias O: 54, Draws: 5
Genoma 53307, Vitórias X: 34, Vitórias O: 55, Draws: 11
Genoma 53401, Vitórias X: 32, Vitórias O: 60, Draws: 8
Genoma 53495, Vitórias X: 48, Vitórias O: 47, Draws: 5
Genoma 53589, Vitórias X: 49, Vitórias O: 45, Draws: 6
Genoma 53683, Vitórias X: 39, Vitórias O: 56, Draws: 5
Genoma 53777, Vitórias X: 49, Vitórias O: 44, Draws: 7
Genoma 53871, Vitórias X: 40, Vitórias O: 55, Draws: 5
Genoma 53965, Vitórias X: 40, Vitórias O: 53, Draws: 7
Genoma 54059, Vitórias X: 42, Vitórias O: 52, Draws: 6
Genoma 54153, Vitórias X: 39, Vitórias O: 57, Draws: 4
Genoma 54247, Vitórias X: 33, Vitórias O: 59, Draws: 8
Genoma 54341, Vitórias X: 37, Vitórias O: 50, Draws: 13
Genoma 54435, Vitórias X: 36, Vitórias O: 61, Draws: 3
Genoma 54529, Vitórias X: 30, Vitórias O: 64, Draws: 6
Genoma 54623, Vitórias X: 39, Vitórias O: 57, Draws: 4
Genoma 54717, Vitórias X: 43, Vitórias O: 52, Draws: 5
Genoma 54811, Vitórias X: 39, Vitórias O: 53, Draws: 8
Genoma 54905, Vitórias X: 37, Vitórias O: 53, Draws: 10
Genoma 54999, Vitórias X: 45, Vitórias O: 44, Draws: 11
Genoma 55093, Vitórias X: 49, Vitórias O: 45, Draws: 6
Genoma 55187, Vitórias X: 37, Vitórias O: 61, Draws: 2
Genoma 55281, Vitórias X: 42, Vitórias O: 52, Draws: 6
Genoma 55375, Vitórias X: 38, Vitórias O: 54, Draws: 8
Genoma 55469, Vitórias X: 52, Vitórias O: 40, Draws: 8
Genoma 55563, Vitórias X: 43, Vitórias O: 50, Draws: 7
Genoma 55657, Vitórias X: 36, Vitórias O: 52, Draws: 12
Genoma 55751, Vitórias X: 46, Vitórias O: 51, Draws: 3
Genoma 55845, Vitórias X: 33, Vitórias O: 63, Draws: 4
Genoma 55939, Vitórias X: 43, Vitórias O: 50, Draws: 7
Genoma 56033, Vitórias X: 31, Vitórias O: 58, Draws: 11
Genoma 56127, Vitórias X: 41, Vitórias O: 54, Draws: 5
Genoma 56221, Vitórias X: 37, Vitórias O: 56, Draws: 7
Genoma 56315, Vitórias X: 38, Vitórias O: 56, Draws: 6
Genoma 56409, Vitórias X: 43, Vitórias O: 50, Draws: 7
Genoma 56503, Vitórias X: 29, Vitórias O: 64, Draws: 7
Genoma 56597, Vitórias X: 43, Vitórias O: 52, Draws: 5
Genoma 56691, Vitórias X: 43, Vitórias O: 51, Draws: 6
Genoma 56785, Vitórias X: 41, Vitórias O: 52, Draws: 7
Genoma 56879, Vitórias X: 45, Vitórias O: 51, Draws: 4
Genoma 56973, Vitórias X: 42, Vitórias O: 53, Draws: 5
Genoma 57067, Vitórias X: 36, Vitórias O: 58, Draws: 6
Genoma 57161, Vitórias X: 45, Vitórias O: 49, Draws: 6
Genoma 57255, Vitórias X: 35, Vitórias O: 58, Draws: 7
Genoma 57349, Vitórias X: 38, Vitórias O: 57, Draws: 5
Genoma 57443, Vitórias X: 40, Vitórias O: 55, Draws: 5
Genoma 57537, Vitórias X: 41, Vitórias O: 52, Draws: 7
Genoma 57631, Vitórias X: 40, Vitórias O: 58, Draws: 2
Genoma 57725, Vitórias X: 26, Vitórias O: 60, Draws: 14
Genoma 57819, Vitórias X: 41, Vitórias O: 53, Draws: 6
Genoma 57913, Vitórias X: 30, Vitórias O: 63, Draws: 7
Genoma 58007, Vitórias X: 34, Vitórias O: 59, Draws: 7
Genoma 58101, Vitórias X: 43, Vitórias O: 51, Draws: 6
Genoma 58195, Vitórias X: 42, Vitórias O: 52, Draws: 6
Genoma 58289, Vitórias X: 47, Vitórias O: 45, Draws: 8
Genoma 58383, Vitórias X: 41, Vitórias O: 47, Draws: 12
Genoma 58477, Vitórias X: 44, Vitórias O: 46, Draws: 10
Genoma 58571, Vitórias X: 42, Vitórias O: 48, Draws: 10
Genoma 58665, Vitórias X: 32, Vitórias O: 62, Draws: 6
Genoma 58759, Vitórias X: 36, Vitórias O: 57, Draws: 7
Genoma 58853, Vitórias X: 41, Vitórias O: 55, Draws: 4
Genoma 58947, Vitórias X: 36, Vitórias O: 59, Draws: 5
Genoma 59041, Vitórias X: 33, Vitórias O: 63, Draws: 4
Genoma 59135, Vitórias X: 37, Vitórias O: 58, Draws: 5
Genoma 59229, Vitórias X: 47, Vitórias O: 48, Draws: 5
Genoma 59323, Vitórias X: 37, Vitórias O: 60, Draws: 3
Genoma 59417, Vitórias X: 36, Vitórias O: 57, Draws: 7
Genoma 59511, Vitórias X: 47, Vitórias O: 51, Draws: 2
Genoma 59605, Vitórias X: 45, Vitórias O: 47, Draws: 8
Genoma 59699, Vitórias X: 38, Vitórias O: 55, Draws: 7
Genoma 59793, Vitórias X: 40, Vitórias O: 52, Draws: 8
Genoma 59887, Vitórias X: 47, Vitórias O: 51, Draws: 2
Genoma 59981, Vitórias X: 39, Vitórias O: 55, Draws: 6
Genoma 60075, Vitórias X: 38, Vitórias O: 54, Draws: 8
Genoma 60169, Vitórias X: 44, Vitórias O: 49, Draws: 7
Genoma 60263, Vitórias X: 36, Vitórias O: 61, Draws: 3
Genoma 60357, Vitórias X: 41, Vitórias O: 53, Draws: 6
Genoma 60451, Vitórias X: 37, Vitórias O: 56, Draws: 7
Genoma 60545, Vitórias X: 41, Vitórias O: 54, Draws: 5
Genoma 60639, Vitórias X: 36, Vitórias O: 59, Draws: 5
Genoma 60733, Vitórias X: 42, Vitórias O: 51, Draws: 7
Genoma 60827, Vitórias X: 34, Vitórias O: 59, Draws: 7
Genoma 60921, Vitórias X: 38, Vitórias O: 55, Draws: 7
Genoma 61015, Vitórias X: 40, Vitórias O: 57, Draws: 3
Genoma 61109, Vitórias X: 44, Vitórias O: 50, Draws: 6
Genoma 61203, Vitórias X: 39, Vitórias O: 55, Draws: 6
Genoma 61297, Vitórias X: 43, Vitórias O: 46, Draws: 11
Genoma 61391, Vitórias X: 47, Vitórias O: 41, Draws: 12
Genoma 61485, Vitórias X: 36, Vitórias O: 57, Draws: 7
Genoma 61579, Vitórias X: 45, Vitórias O: 50, Draws: 5
Genoma 61673, Vitórias X: 41, Vitórias O: 53, Draws: 6
Genoma 61767, Vitórias X: 31, Vitórias O: 62, Draws: 7
Genoma 61861, Vitórias X: 43, Vitórias O: 53, Draws: 4
Genoma 61955, Vitórias X: 34, Vitórias O: 59, Draws: 7
Genoma 62049, Vitórias X: 38, Vitórias O: 53, Draws: 9
Genoma 62143, Vitórias X: 32, Vitórias O: 61, Draws: 7
Genoma 62237, Vitórias X: 45, Vitórias O: 52, Draws: 3
Genoma 62331, Vitórias X: 40, Vitórias O: 50, Draws: 10
Genoma 62425, Vitórias X: 38, Vitórias O: 57, Draws: 5
Genoma 62519, Vitórias X: 42, Vitórias O: 51, Draws: 7
Genoma 62613, Vitórias X: 32, Vitórias O: 53, Draws: 15
Genoma 62707, Vitórias X: 38, Vitórias O: 53, Draws: 9
Genoma 62801, Vitórias X: 40, Vitórias O: 54, Draws: 6
Genoma 62895, Vitórias X: 42, Vitórias O: 47, Draws: 11
Genoma 62989, Vitórias X: 38, Vitórias O: 52, Draws: 10
Genoma 63083, Vitórias X: 36, Vitórias O: 58, Draws: 6
Genoma 63177, Vitórias X: 45, Vitórias O: 45, Draws: 10
Genoma 63271, Vitórias X: 43, Vitórias O: 55, Draws: 2
Genoma 63365, Vitórias X: 49, Vitórias O: 47, Draws: 4
Genoma 63459, Vitórias X: 43, Vitórias O: 48, Draws: 9
Genoma 63553, Vitórias X: 32, Vitórias O: 61, Draws: 7
Genoma 63647, Vitórias X: 42, Vitórias O: 52, Draws: 6
Genoma 63741, Vitórias X: 44, Vitórias O: 51, Draws: 5
Genoma 63835, Vitórias X: 39, Vitórias O: 53, Draws: 8
Genoma 63929, Vitórias X: 33, Vitórias O: 64, Draws: 3
Genoma 64023, Vitórias X: 45, Vitórias O: 52, Draws: 3
Genoma 64117, Vitórias X: 40, Vitórias O: 57, Draws: 3
Genoma 64211, Vitórias X: 35, Vitórias O: 57, Draws: 8
Genoma 64305, Vitórias X: 36, Vitórias O: 60, Draws: 4
Genoma 64399, Vitórias X: 31, Vitórias O: 59, Draws: 10
Genoma 64493, Vitórias X: 38, Vitórias O: 56, Draws: 6
Genoma 64587, Vitórias X: 28, Vitórias O: 63, Draws: 9
Genoma 64681, Vitórias X: 44, Vitórias O: 49, Draws: 7
Genoma 64775, Vitórias X: 37, Vitórias O: 57, Draws: 6
Genoma 64869, Vitórias X: 43, Vitórias O: 50, Draws: 7
Genoma 64963, Vitórias X: 41, Vitórias O: 51, Draws: 8
Genoma 65057, Vitórias X: 38, Vitórias O: 52, Draws: 10
Genoma 65151, Vitórias X: 32, Vitórias O: 61, Draws: 7
Genoma 65245, Vitórias X: 42, Vitórias O: 54, Draws: 4
Genoma 65339, Vitórias X: 36, Vitórias O: 61, Draws: 3
Genoma 65433, Vitórias X: 34, Vitórias O: 59, Draws: 7
Genoma 65527, Vitórias X: 43, Vitórias O: 56, Draws: 1
Genoma 65621, Vitórias X: 39, Vitórias O: 54, Draws: 7
Genoma 65715, Vitórias X: 41, Vitórias O: 55, Draws: 4
Genoma 65809, Vitórias X: 34, Vitórias O: 60, Draws: 6
Genoma 65903, Vitórias X: 41, Vitórias O: 50, Draws: 9
Genoma 65997, Vitórias X: 33, Vitórias O: 55, Draws: 12
Genoma 66091, Vitórias X: 37, Vitórias O: 57, Draws: 6
Genoma 66185, Vitórias X: 46, Vitórias O: 49, Draws: 5
Genoma 66279, Vitórias X: 46, Vitórias O: 51, Draws: 3
Genoma 66373, Vitórias X: 45, Vitórias O: 47, Draws: 8
Genoma 66467, Vitórias X: 40, Vitórias O: 51, Draws: 9
Genoma 66561, Vitórias X: 41, Vitórias O: 49, Draws: 10
Genoma 66655, Vitórias X: 40, Vitórias O: 53, Draws: 7
Genoma 66749, Vitórias X: 32, Vitórias O: 58, Draws: 10
Genoma 66843, Vitórias X: 30, Vitórias O: 64, Draws: 6
Genoma 66937, Vitórias X: 40, Vitórias O: 52, Draws: 8
Genoma 67031, Vitórias X: 38, Vitórias O: 53, Draws: 9
Genoma 67125, Vitórias X: 38, Vitórias O: 58, Draws: 4
Genoma 67219, Vitórias X: 50, Vitórias O: 49, Draws: 1
Genoma 67313, Vitórias X: 46, Vitórias O: 47, Draws: 7
Genoma 67407, Vitórias X: 40, Vitórias O: 56, Draws: 4
Genoma 67501, Vitórias X: 40, Vitórias O: 54, Draws: 6
Genoma 67595, Vitórias X: 44, Vitórias O: 50, Draws: 6
Genoma 67689, Vitórias X: 42, Vitórias O: 53, Draws: 5
Genoma 67783, Vitórias X: 35, Vitórias O: 59, Draws: 6
Genoma 67877, Vitórias X: 35, Vitórias O: 59, Draws: 6
Genoma 67971, Vitórias X: 31, Vitórias O: 56, Draws: 13
Genoma 68065, Vitórias X: 44, Vitórias O: 48, Draws: 8
Genoma 68159, Vitórias X: 36, Vitórias O: 61, Draws: 3
Genoma 68253, Vitórias X: 36, Vitórias O: 58, Draws: 6
Genoma 68347, Vitórias X: 47, Vitórias O: 49, Draws: 4
Genoma 68441, Vitórias X: 51, Vitórias O: 46, Draws: 3
Genoma 68535, Vitórias X: 32, Vitórias O: 59, Draws: 9
Genoma 68629, Vitórias X: 34, Vitórias O: 60, Draws: 6
Genoma 68723, Vitórias X: 39, Vitórias O: 55, Draws: 6
Genoma 68817, Vitórias X: 41, Vitórias O: 56, Draws: 3
Genoma 68911, Vitórias X: 38, Vitórias O: 58, Draws: 4
Genoma 69005, Vitórias X: 31, Vitórias O: 65, Draws: 4
Genoma 69099, Vitórias X: 39, Vitórias O: 53, Draws: 8
Genoma 69193, Vitórias X: 42, Vitórias O: 55, Draws: 3
Genoma 69287, Vitórias X: 36, Vitórias O: 57, Draws: 7
Genoma 69381, Vitórias X: 44, Vitórias O: 55, Draws: 1
Genoma 69475, Vitórias X: 36, Vitórias O: 55, Draws: 9
Genoma 69569, Vitórias X: 36, Vitórias O: 58, Draws: 6
Genoma 69663, Vitórias X: 41, Vitórias O: 51, Draws: 8
Genoma 69757, Vitórias X: 38, Vitórias O: 52, Draws: 10
Genoma 69851, Vitórias X: 42, Vitórias O: 51, Draws: 7
Genoma 69945, Vitórias X: 38, Vitórias O: 56, Draws: 6
Genoma 70039, Vitórias X: 38, Vitórias O: 51, Draws: 11
Genoma 70133, Vitórias X: 44, Vitórias O: 53, Draws: 3
Genoma 70227, Vitórias X: 37, Vitórias O: 57, Draws: 6
Genoma 70321, Vitórias X: 41, Vitórias O: 54, Draws: 5
Genoma 70415, Vitórias X: 35, Vitórias O: 59, Draws: 6
Genoma 70509, Vitórias X: 47, Vitórias O: 46, Draws: 7
Genoma 70603, Vitórias X: 41, Vitórias O: 50, Draws: 9
Genoma 70697, Vitórias X: 35, Vitórias O: 56, Draws: 9
Genoma 70791, Vitórias X: 36, Vitórias O: 57, Draws: 7
Genoma 70885, Vitórias X: 34, Vitórias O: 54, Draws: 12
